Id,No.,Name,Formula,CAS no.,C1,C2,C3,C4,C5,Tmin,P(Tmin),Tmax,P(Tmax),Eq
-,-,-,-,-,C1,C2,C3,C4,C5,Tmin,P(Tmin),Tmax,P(Tmax),VaPr
-,-,-,-,-,1,1,1,1,1,K,Pa,K,Pa,Pa
287,287,Pentyl mercaptan,C5H12S,110-66-7,67.309,-6880.8,-6.4449,1.01E-17,6,197.45,2.01E-01,598,3.47E+06,1
288,288,1-Pentyne,C5H8,627-19-0,82.805,-5683.8,-9.4301,1.08E-05,2,167.45,2.40E+00,481.2,4.17E+06,1
289,289,2-Pentyne,C5H8,627-21-4,137.29,-7447.1,-19.01,2.14E-02,1,163.83,2.05E-01,519,4.02E+06,1
290,290,Phenanthrene,C14H10,1985-01-08,72.958,-10943,-6.7902,1.09E-18,6,372.38,2.93E+01,869,2.90E+06,1
291,291,Phenol,C6H6O,108-95-2,95.444,-10113,-10.09,6.76E-18,6,314.06,1.88E+02,694.25,6.06E+06,1
292,292,Phenyl isocyanate,C7H5NO,103-71-9,86.779,-8101.8,-9.5303,6.14E-06,2,243.15,4.33E+00,653,4.06E+06,1
293,293,Phthalic anhydride,C8H4O3,85-44-9,126.5,-12551,-15.002,7.75E-06,2,404.15,7.90E+02,791,4.73E+06,1
294,294,Propadiene,C3H4,463-49-0,57.069,-3682.7,-5.5662,6.51E-06,2,136.87,1.83E+01,394,5.22E+06,1
295,295,Propane,C3H8,74-98-6,59.078,-3492.6,-6.0669,1.09E-05,2,85.47,1.68E-04,369.83,4.21E+06,1
296,296,1-Propanol,C3H8O,71-23-8,84.6642,-8307.2,-8.5767,7.51E-18,6,146.95,4.28E-07,536.8,5.17E+06,1
297,297,2-Propanol,C3H8O,67-63-0,96.094,-8575.4,-10.292,1.67E-17,6,185.26,1.95E-02,508.3,4.78E+06,1
298,298,Propenylcyclohexene,C9H14,13511-13-2,64.268,-7298.9,-5.9109,4.85E-18,6,199,2.48E-02,636,3.13E+06,1
299,299,Propionaldehyde,C3H6O,123-38-6,80.581,-5896.1,-8.9301,8.22E-06,2,170,1.31E+00,504.4,4.92E+06,1
300,300,Propionic acid,C3H6O2,1979-09-04,54.552,-7149.4,-4.2769,1.18E-18,6,252.45,1.31E+01,600.81,4.61E+06,1
301,301,Propionitrile,C3H5N,107-12-0,82.699,-6703.5,-9.1506,7.54E-06,2,180.26,1.69E-01,564.4,4.19E+06,1
302,302,Propyl acetate,C5H10O2,109-60-4,115.16,-8433.9,-13.934,1.03E-05,2,178.15,1.71E-02,549.73,3.37E+06,1
303,303,Propyl amine,C3H9N,0107-10-8,58.398,-5312.7,-5.2876,1.99E-06,2,188.36,1.30E+01,496.95,4.74E+06,1
304,304,Propylbenzene,C9H12,103-65-1,91.379,-8276.8,-10.176,5.62E-06,2,173.55,1.81E-04,638.35,3.20E+06,1
305,305,Propylene,C3H6,0115-07-01,43.905,-3097.8,-3.4425,1.00E-16,6,87.89,1.17E-03,364.85,4.60E+06,1
306,306,Propyl formate,C4H8O2,110-74-7,104.08,-7535.9,-12.348,9.60E-06,2,180.25,2.11E-01,538,4.03E+06,1
307,307,2-Propyl mercaptan,C3H8S,75-33-2,60.43,-5276.9,-5.6572,2.60E-17,6,142.61,9.73E-03,517,4.75E+06,1
308,308,Propyl mercaptan,C3H8S,0107-03-09,62.165,-5624,-5.8595,2.06E-17,6,159.95,6.51E-02,536.6,4.63E+06,1
309,309,"1,2-Propylene glycol",C3H8O2,57-55-6,212.8,-15420,-28.109,2.16E-05,2,213.15,9.29E-05,626,6.04E+06,1
310,310,Quinone,C6H4O2,106-51-4,48.651,-7289.5,-3.4453,1.01E-18,6,388.85,1.17E+04,683,5.93E+06,1
311,311,Silicon tetrafluoride,F4Si,7783-61-1,272.85,-9548.9,-40.089,6.37E-15,6,186.35,2.21E+05,259,3.75E+06,1
312,312,Styrene,C8H8,100-42-5,105.93,-8685.9,-12.42,7.56E-06,2,242.54,1.06E+01,636,3.82E+06,1
313,313,Succinic acid,C4H6O4,110-15-6,128.65,-16958,-13.872,2.16E-18,6,460.65,8.85E+02,806,4.73E+06,1
314,314,Sulfur dioxide,O2S,7446-09-05,47.365,-4084.5,-3.6469,1.80E-17,6,197.67,1.67E+03,430.75,7.86E+06,1
315,315,Sulfur hexafluoride,F6S,2551-62-4,29.16,-2383.6,-1.1342,0.00E+00,0,223.15,2.30E+05,318.69,3.77E+06,1
316,316,Sulfur trioxide,O3S,7446-11-09,180.99,-12060,-22.839,7.24E-17,6,289.95,2.09E+04,490.85,8.19E+06,1
317,317,Terephthalic acid,C8H6O4,100-21-0,248.72,-32238,-30.009,4.80E-06,2,700.15,4.57E+03,1113,3.94E+06,1
318,318,o-Terphenyl,C18H14,84-15-1,110.52,-14045,-11.861,2.21E-18,6,329.35,4.14E-01,857,2.97E+06,1
319,319,Tetradecane,C14H30,629-59-4,140.47,-13231,-16.859,6.59E-06,2,279.01,2.53E-01,693,1.57E+06,1
320,320,Tetrahydrofuran,C4H8O,109-99-9,54.898,-5305.4,-4.7627,1.43E-17,6,164.65,1.96E-01,540.15,5.20E+06,1
321,321,"1,2,3,4-Tetrahydronaphthalene",C10H12,119-64-2,137.23,-10620,-17.908,1.45E-02,1,237.38,1.33E-01,720,3.62E+06,1
322,322,Tetrahydrothiophene,C4H8S,110-01-0,75.881,-6910.6,-7.9499,4.43E-06,2,176.99,1.54E-02,631.95,5.12E+06,1
323,323,"2,2,3,3-Tetramethylbutane",C8H18,594-82-1,57.963,-5901.5,-5.2048,9.13E-18,6,373.96,8.69E+04,568,2.87E+06,1
324,324,Thiophene,C4H4S,0110-02-01,93.193,-7001.5,-10.738,8.23E-06,2,234.94,1.86E+02,579.35,5.70E+06,1
325,325,Toluene,C7H8,108-88-3,76.945,-6729.8,-8.179,5.30E-06,2,178.18,4.75E-02,591.75,4.08E+06,1
326,326,"1,1,2-Trichloroethane",C2H3Cl3,79-00-5,54.153,-6041.8,-4.5383,4.98E-18,6,236.5,4.47E+01,602,4.45E+06,1
327,327,Tridecane,C13H28,629-50-5,137.45,-12549,-16.543,7.13E-06,2,267.76,2.51E-01,675,1.68E+06,1
328,328,Triethyl amine,C6H15N,121-44-8,56.55,-5681.9,-4.9815,1.24E-17,6,158.45,1.06E-02,535.15,3.04E+06,1
329,329,Trimethyl amine,C3H9N,75-50-3,134.68,-6055.8,-19.415,2.86E-02,1,156.08,9.92E+00,433.25,4.10E+06,1
330,330,"1,2,3-Trimethylbenzene",C9H12,526-73-8,78.341,-8019.8,-8.1458,3.90E-06,2,247.79,3.71E+00,664.5,3.45E+06,1
331,331,"1,2,4-Trimethylbenzene",C9H12,95-63-6,85.301,-8215.9,-9.2166,4.80E-06,2,229.33,6.93E-01,649.1,3.21E+06,1
332,332,"2,2,4-Trimethylpentane",C8H18,540-84-1,84.912,-6722.2,-9.5157,7.22E-06,2,165.78,1.71E-02,543.8,2.55E+06,1
333,333,"2,3,3-Trimethylpentane",C8H18,560-21-4,83.105,-6903.7,-9.1858,6.47E-06,2,172.22,1.68E-02,573.5,2.81E+06,1
334,334,"1,3,5-Trinitrobenzene",C6H3N3O6,99-35-4,506.33,-37483,-69.22,2.74E-05,2,398.4,8.50E+00,846,3.41E+06,1
335,335,"2,4,6-Trinitrotoluene",C7H5N3O6,118-96-7,302,-24324,-40.13,1.74E-05,2,354,9.36E-01,828,3.02E+06,1
336,336,Undecane,C11H24,1120-21-4,131,-11143,-15.855,8.19E-06,2,247.57,4.08E-01,639,1.95E+06,1
337,337,1-Undecanol,C11H24O,112-42-5,182.571,-17112,-22.125,1.13E-17,6,288.45,1.26E-01,703.9,2.12E+06,1
338,338,Vinyl acetate,C4H6O2,0108-05-04,57.406,-5702.8,-5.0307,1.10E-17,6,180.35,7.06E-01,519.13,3.93E+06,1
339,339,Vinyl acetylene,C4H4,689-97-4,55.682,-4439.3,-5.0136,1.97E-17,6,173.15,6.69E+01,454,4.89E+06,1
340,340,Vinyl chloride,C2H3Cl,1975-01-04,91.432,-5141.7,-10.981,1.43E-05,2,119.36,1.92E-02,432,5.75E+06,1
341,341,Vinyl trichlorosilane,C2H3Cl3Si,75-94-5,54.571,-5561.5,-4.712,1.07E-17,6,178.35,3.54E-01,543.15,3.06E+06,1
342,342,Water,H2O,7732-18-5,73.649,-7258.2,-7.3037,4.17E-06,2,273.16,6.11E+02,647.096,2.19E+07,1
343,343,m-Xylene,C8H10,108-38-3,85.099,-7615.9,-9.3072,5.56E-06,2,225.3,3.18E+00,617,3.53E+06,1
344,344,o-Xylene,C8H10,95-47-6,90.405,-7955.2,-10.086,5.96E-06,2,247.98,2.18E+01,630.3,3.74E+06,1
345,345,p-Xylene,C8H10,106-42-3,88.72,-7741.2,-9.8693,6.08E-06,2,286.41,5.76E+02,616.2,3.50E+06,1
