Id,No.,Name,Formula,CAS no.,C1,C2,C3,C4,C5,Tmin,P(Tmin),Tmax,P(Tmax),Eq
-,-,-,-,-,C1,C2,C3,C4,C5,Tmin,P(Tmin),Tmax,P(Tmax),VaPr
-,-,-,-,-,1,1,1,1,1,K,Pa,K,Pa,Pa
73,73,Decanal,C10H20O,112-31-2,201.64,-15133,-26.264,1.46E-05,2,267.15,4.86E-01,674.2,2.60E+06,1
74,74,Decane,C10H22,124-18-5,112.73,-9749.6,-13.245,7.13E-06,2,243.51,1.39E+00,617.7,2.09E+06,1
75,75,Decanoic acid,C10H20O2,334-48-5,123.36,-14680,-13.474,1.95E-18,6,304.55,1.50E-01,722.1,2.23E+06,1
76,76,1-Decanol,C10H22O,112-30-1,156.239,-15212,-18.424,8.50E-18,6,280.05,1.51E-01,688,2.31E+06,1
77,77,1-Decene,C10H20,0872-05-09,68.401,-7776.9,-6.4637,6.38E-18,6,206.89,2.59E-02,616.6,2.22E+06,1
78,78,Decyl mercaptan,C10H22S,0143-10-2,91.91,-10565,-9.5957,5.70E-18,6,247.56,2.59E-02,696,2.13E+06,1
79,79,1-Decyne,C10H18,764-93-2,142.94,-11119,-17.818,1.10E-05,2,229.15,1.60E-01,619.85,2.36E+06,1
80,80,Deuterium,D2,7782-39-0,18.947,-154.47,-0.5723,3.89E-02,1,18.73,1.72E+04,38.35,1.66E+06,1
81,81,"1,1-Dibromoethane",C2H4Br2,557-91-5,62.711,-6503.5,-5.7669,1.04E-06,2,210.15,2.64E+00,628,6.03E+06,1
82,82,"1,2-Dibromoethane",C2H4Br2,106-93-4,43.751,-5587.7,-3.0891,8.27E-07,2,282.85,7.53E+02,650.15,5.38E+06,1
83,83,Dibromomethane,CH2Br2,74-95-3,86.295,-7010.3,-9.5972,6.78E-06,2,220.6,2.13E+01,611,7.17E+06,1
84,84,Dibutyl ether,C8H18O,142-96-1,72.227,-7537.6,-7.0596,9.14E-18,6,175.3,7.14E-04,584.1,2.46E+06,1
85,85,m-Dichlorobenzene,C6H4Cl2,541-73-1,53.187,-6827.5,-4.3233,2.31E-18,6,248.39,6.41E+00,683.95,4.07E+06,1
86,86,o-Dichlorobenzene,C6H4Cl2,95-50-1,77.105,-8111.1,-7.8886,2.73E-06,2,256.15,6.49E+00,705,4.07E+06,1
87,87,p-Dichlorobenzene,C6H4Cl2,106-46-7,88.31,-8463.4,-9.6308,4.58E-06,2,326.14,1.23E+03,684.75,4.07E+06,1
88,88,"1,1-Dichloroethane",C2H4Cl2,75-34-3,66.611,-5493.1,-6.7301,5.36E-06,2,176.19,2.21E+00,523,5.11E+06,1
89,89,"1,2-Dichloroethane",C2H4Cl2,0107-06-02,92.355,-6920.4,-10.651,9.14E-06,2,237.49,2.37E+02,561.6,5.32E+06,1
90,90,Dichloromethane,CH2Cl2,1975-09-02,101.6,-6541.6,-12.247,1.23E-05,2,178.01,5.93E+00,510,6.09E+06,1
91,91,"1,1-Dichloropropane",C3H6Cl2,78-99-9,83.495,-6661.4,-9.2386,6.77E-06,2,200,4.52E+00,560,4.24E+06,1
92,92,"1,2-Dichloropropane",C3H6Cl2,78-87-5,65.955,-6015.6,-6.5509,4.32E-06,2,172.71,8.25E-02,572,4.23E+06,1
93,93,Diethanol amine,C4H11NO2,111-42-2,106.38,-13714,-11.06,3.26E-18,6,301.15,1.02E-01,736.6,4.26E+06,1
94,94,Diethyl amine,C4H11N,109-89-7,49.314,-4949,-3.9256,9.20E-18,6,223.35,3.74E+02,496.6,3.67E+06,1
95,95,Diethyl ether,C4H10O,60-29-7,136.9,-6954.3,-19.254,2.45E-02,1,156.85,3.95E-01,466.7,3.64E+06,1
96,96,Diethyl sulfide,C4H10S,352-93-2,46.705,-5177.4,-3.5985,1.71E-06,2,169.2,9.93E-02,557.15,3.96E+06,1
97,97,"1,1-Difluoroethane",C2H4F2,75-37-6,73.491,-4385.9,-8.1851,1.30E-05,2,154.56,6.45E+01,386.44,4.51E+06,1
98,98,"1,2-Difluoroethane",C2H4F2,624-72-6,84.625,-5217.4,-9.871,1.31E-05,2,215,2.83E+03,445,4.37E+06,1
99,99,Difluoromethane,CH2F2,1975-10-05,69.132,-3847.7,-7.5868,1.51E-05,2,136.95,5.43E+01,351.255,5.76E+06,1
100,100,Di-isopropyl amine,C6H15N,108-18-9,462.84,-18227,-73.734,9.28E-02,1,176.85,4.47E-03,523.1,3.20E+06,1
101,101,Di-isopropyl ether,C6H14O,108-20-3,41.631,-4668.7,-2.8551,6.37E-04,1,187.65,6.86E+00,500.05,2.87E+06,1
102,102,Di-isopropyl ketone,C7H14O,565-80-0,50.868,-6036.5,-4.066,1.13E-06,2,204.81,8.21E-01,576,3.02E+06,1
103,103,"1,1-Dimethoxyethane",C4H10O2,534-15-6,53.637,-5251.2,-4.5649,1.68E-17,6,159.95,9.45E-02,507.8,3.77E+06,1
104,104,"1,2-Dimethoxypropane",C5H12O2,7778-85-0,62.097,-6174.9,-5.715,1.23E-17,6,226.1,4.50E+01,543,3.45E+06,1
105,105,Dimethyl acetylene,C4H6,503-17-3,66.592,-4999.8,-6.8387,6.68E-06,2,240.91,6.12E+03,473.2,4.87E+06,1
106,106,Dimethyl amine,C2H7N,124-40-3,71.738,-5302,-7.3324,6.42E-17,6,180.96,7.56E+01,437.2,5.26E+06,1
107,107,"2,3-Dimethylbutane",C6H14,79-29-8,77.161,-5691.1,-8.501,8.03E-06,2,145.19,1.52E-02,500,3.13E+06,1
108,108,"1,1-Dimethylcyclohexane",C8H16,590-66-9,81.184,-6927,-8.8498,5.46E-06,2,239.66,6.06E+01,591.15,2.94E+06,1
109,109,"cis-1,2-Dimethylcyclohexane",C8H16,2207-01-04,78.952,-7075.4,-8.4344,4.50E-06,2,223.16,6.41E+00,606.15,2.94E+06,1
110,110,"trans-1,2-Dimethylcyclohexane",C8H16,6876-23-9,78.429,-6882.1,-8.4129,4.98E-06,2,184.99,8.04E-02,596.15,2.94E+06,1
111,111,Dimethyl disulfide,C2H6S2,624-92-0,81.045,-6941.3,-8.777,5.55E-06,2,188.44,2.07E-01,615,5.36E+06,1
112,112,Dimethyl ether,C2H6O,0115-10-6,44.704,-3525.6,-3.4444,5.46E-17,6,131.65,3.05E+00,400.1,5.27E+06,1
113,113,"N,N-Dimethyl formamide",C3H7NO,1968-12-02,82.762,-7955.5,-8.8038,4.24E-06,2,212.72,1.95E-01,649.6,4.37E+06,1
114,114,"2,3-Dimethylpentane",C7H16,565-59-3,78.335,-6348.7,-8.5105,6.43E-06,2,160,1.26E-02,537.3,2.88E+06,1
115,115,Dimethyl phthalate,C10H10O4,0131-11-3,72.517,-10415,-6.755,1.33E-06,2,274.18,3.72E-02,766,2.78E+06,1
116,116,Dimethylsilane,C2H8Si,1111-74-6,63.08,-4062.3,-6.425,1.51E-16,6,122.93,4.15E-01,402,3.56E+06,1
117,117,Dimethyl sulfide,C2H6S,75-18-3,84.39,-5740.6,-9.6454,1.01E-05,2,174.88,7.86E+00,503.04,5.53E+06,1
118,118,Dimethyl sulfoxide,C2H6OS,67-68-5,56.273,-7620.6,-4.6279,4.38E-07,2,291.67,5.02E+01,729,5.65E+06,1
119,119,Dimethyl terephthalate,C10H10O4,120-61-6,43.541,-8204.8,-2.7519,1.05E-18,6,413.8,1.26E+03,772,2.78E+06,1
120,120,"1,4-Dioxane",C4H8O2,123-91-1,44.494,-5406.7,-3.1287,2.89E-18,6,284.95,2.53E+03,587,5.16E+06,1
121,121,Diphenyl ether,C12H10O,101-84-8,59.969,-8585.5,-5.1538,2.00E-18,6,300.03,7.09E+00,766.8,3.10E+06,1
122,122,Dipropyl amine,C6H15N,142-84-7,54,-6018.5,-4.4981,9.97E-18,6,210.15,3.69E+00,550,3.11E+06,1
123,123,Dodecane,C12H26,112-40-3,137.47,-11976,-16.698,8.09E-06,2,263.57,6.15E-01,658,1.82E+06,1
124,124,Eicosane,C20H42,112-95-8,203.66,-19441,-25.525,8.84E-06,2,309.58,9.26E-03,768,1.18E+06,1
125,125,Ethane,C2H6,74-84-0,51.857,-2598.7,-5.1283,1.49E-05,2,90.35,1.13E+00,305.32,4.85E+06,1
126,126,Ethanol,C2H6O,64-17-5,73.304,-7122.3,-7.1424,2.89E-06,2,159.05,4.96E-04,514,6.11E+06,1
127,127,Ethyl acetate,C4H8O2,141-78-6,66.824,-6227.6,-6.41,1.79E-17,6,189.6,1.43E+00,523.3,3.85E+06,1
128,128,Ethyl amine,C2H7N,1975-04-07,81.56,-5596.9,-9.0779,8.79E-06,2,192.15,1.52E+02,456.15,5.59E+06,1
129,129,Ethylbenzene,C8H10,100-41-4,89.063,-7733.7,-9.917,5.99E-06,2,178.2,3.91E-03,617.15,3.59E+06,1
130,130,Ethyl benzoate,C9H10O2,93-89-0,52.923,-7531.7,-4.2347,1.18E-06,2,238.45,1.69E-01,698,3.20E+06,1
131,131,2-Ethyl butanoic acid,C6H12O2,1988-09-05,90.464,-10243,-9.2836,5.26E-18,6,258.15,4.63E-01,655,3.40E+06,1
132,132,Ethyl butyrate,C6H12O2,105-54-4,57.661,-6346.5,-5.032,8.25E-18,6,175.15,1.04E-02,571,2.94E+06,1
133,133,Ethylcyclohexane,C8H16,1678-91-7,80.208,-7203.2,-8.6023,4.59E-06,2,161.84,3.57E-04,609.15,3.04E+06,1
134,134,Ethylcyclopentane,C7H14,1640-89-7,88.671,-7012.7,-10.045,7.46E-06,2,134.71,3.71E-06,569.5,3.41E+06,1
135,135,Ethylene,C2H4,74-85-1,53.963,-2443,-5.5643,1.91E-05,2,104,1.26E+02,282.34,5.03E+06,1
136,136,Ethylenediamine,C2H8N2,107-15-3,73.51,-7572.7,-7.1435,1.21E-17,6,284.29,6.78E+02,593,6.29E+06,1
137,137,Ethylene glycol,C2H6O2,107-21-1,84.09,-10411,-8.1976,1.65E-18,6,260.15,2.19E-01,720,8.26E+06,1
138,138,Ethyleneimine,C2H5N,151-56-4,66.51,-6019.2,-6.3332,1.04E-17,6,195.2,9.71E+00,537,6.85E+06,1
139,139,Ethylene oxide,C2H4O,75-21-8,91.944,-5293.4,-11.682,1.49E-02,1,160.65,7.79E+00,469.15,7.26E+06,1
140,140,Ethyl formate,C3H6O2,109-94-4,73.833,-5817,-7.809,6.32E-06,2,193.55,1.81E+01,508.4,4.71E+06,1
141,141,2-Ethyl hexanoic acid,C8H16O2,149-57-5,117.52,-12991,-12.895,6.13E-18,6,235,2.86E-04,674.6,2.79E+06,1
142,142,Ethylhexyl ether,C8H18O,5756-43-4,77.523,-7978.8,-7.7757,1.01E-17,6,180,7.60E-04,583,2.46E+06,1
143,143,Ethylisopropyl ether,C5H12O,625-54-7,57.723,-5236.9,-5.2136,2.30E-17,6,140,4.31E-03,489,3.42E+06,1
144,144,Ethylisopropyl ketone,C6H12O,565-69-5,57.459,-6356.8,-4.9545,5.20E-18,6,204.15,9.70E-01,567,3.29E+06,1
145,145,Ethyl mercaptan,C2H6S,1975-08-01,65.551,-5027.4,-6.6853,6.32E-06,2,125.26,1.14E-03,499.15,5.49E+06,1
146,146,Ethyl propionate,C5H10O2,105-37-3,105.64,-8007,-12.477,9.00E-06,2,199.25,7.80E-01,546,3.34E+06,1
147,147,Ethylpropyl ether,C5H12O,628-32-0,86.898,-6646.4,-9.5758,5.96E-17,6,145.65,1.61E-03,500.23,3.37E+06,1
148,148,Ethyltrichlorosilane,C2H5Cl3Si,115-21-9,62.614,-6148.2,-5.84,1.09E-17,6,167.55,1.85E-02,559.95,3.32E+06,1
149,149,Fluorine,F2,7782-41-4,42.393,-1103.3,-4.1203,5.78E-05,2,53.48,2.53E+02,144.12,5.17E+06,1
150,150,Fluorobenzene,C6H5F,0462-06-06,51.915,-5439,-4.2896,8.75E-18,6,230.94,1.51E+02,560.09,4.54E+06,1
151,151,Fluoroethane,C2H5F,353-36-6,56.639,-3576.5,-5.5801,9.90E-06,2,129.95,8.37E+00,375.31,5.01E+06,1
152,152,Fluoromethane,CH3F,593-53-3,59.123,-3043.7,-6.1845,1.66E-05,2,131.35,4.33E+02,317.42,5.88E+06,1
153,153,Formaldehyde,CH2O,50-00-0,101.51,-4917.2,-13.765,2.20E-02,1,181.15,8.87E+02,408,6.59E+06,1
154,154,Formamide,CH3NO,1975-12-07,100.3,-10763,-10.946,3.85E-06,2,275.6,1.04E+00,771,7.75E+06,1
155,155,Formic acid,CH2O2,64-18-6,50.323,-5378.2,-4.203,3.47E-06,2,281.45,2.40E+03,588,5.81E+06,1
156,156,Furan,C4H4O,110-00-9,74.738,-5417,-8.0636,7.47E-06,2,187.55,5.00E+01,490.15,5.55E+06,1
157,157,Helium-4,He,7440-59-7,11.533,-8.99,0.6724,2.74E-01,1,1.76,1.46E+03,5.2,2.29E+05,1
158,158,Heptadecane,C17H36,629-78-7,156.95,-15557,-18.966,6.46E-06,2,295.13,4.65E-02,736,1.34E+06,1
159,159,Heptanal,C7H14O,111-71-7,92.252,-8349,-10.274,5.93E-06,2,229.8,1.45E+00,616.8,3.16E+06,1
160,160,Heptane,C7H16,142-82-5,87.829,-6996.4,-9.8802,7.21E-06,2,182.57,1.83E-01,540.2,2.72E+06,1
161,161,Heptanoic acid,C7H14O2,111-14-8,120.47,-13106,-13.31,5.84E-18,6,265.83,4.34E-02,677.3,3.04E+06,1
162,162,1-Heptanol,C7H16O,111-70-6,147.41,-13466,-17.353,1.13E-17,6,239.15,1.95E-02,632.3,3.01E+06,1
163,163,2-Heptanol,C7H16O,543-49-7,124.23,-11637,-14.148,6.95E-17,5.7,230,3.68E-02,608.3,3.00E+06,1
164,164,3-Heptanone,C7H14O,106-35-4,78.463,-8077.2,-7.9062,8.05E-18,6,234.15,2.30E+00,606.6,2.92E+06,1
165,165,2-Heptanone,C7H14O,110-43-0,75.494,-7896.5,-7.5047,8.91E-18,6,238.15,3.54E+00,611.4,2.95E+06,1
166,166,1-Heptene,C7H14,592-76-7,65.922,-6189,-6.3629,2.01E-17,6,154.12,1.86E-03,537.4,2.92E+06,1
167,167,Heptyl mercaptan,C7H16S,1639-09-04,79.858,-8501.8,-8.1043,8.15E-18,6,229.92,3.05E-01,645,2.77E+06,1
168,168,1-Heptyne,C7H12,628-71-7,59.083,-6031.8,-5.3072,1.44E-17,6,192.22,8.15E-01,547,3.21E+06,1
169,169,Hexadecane,C16H34,544-76-3,156.06,-15015,-18.941,6.82E-06,2,291.31,9.23E-02,723,1.41E+06,1
170,170,Hexanal,C6H12O,66-25-1,81.507,-7776.8,-8.4516,1.51E-17,6,217.15,1.25E+00,591,3.46E+06,1
171,171,Hexane,C6H14,110-54-3,104.65,-6995.5,-12.702,1.24E-05,2,177.83,9.02E-01,507.6,3.05E+06,1
172,172,Hexanoic acid,C6H12O2,142-62-1,114.05,-12332,-12.45,5.63E-18,6,269.25,2.43E-01,660.2,3.28E+06,1
173,173,1-Hexanol,C6H14O,111-27-3,135.421,-12288,-15.732,1.27E-17,6,228.55,2.25E-02,611.3,3.44E+06,1
174,174,2-Hexanol,C6H14O,626-93-7,109.42,-10449,-12.051,2.61E-46,16,223,7.44E-02,585.3,3.30E+06,1
175,175,2-Hexanone,C6H12O,591-78-6,107.44,-8528.6,-12.679,8.46E-06,2,217.35,1.45E+00,587.61,3.29E+06,1
176,176,3-Hexanone,C6H12O,589-38-8,73.155,-7242.9,-7.2569,1.27E-17,6,217.5,2.22E+00,582.82,3.32E+06,1
177,177,1-Hexene,C6H12,592-41-6,51.024,-4986.4,-4.2463,1.68E-17,6,133.39,7.96E-04,504,3.21E+06,1
178,178,3-Hexyne,C6H10,928-49-4,47.091,-5104,-3.6371,5.16E-04,1,170.05,2.20E-01,544,3.54E+06,1
179,179,Hexyl mercaptan,C6H14S,111-31-9,68.467,-7390.5,-6.5456,7.76E-18,6,192.62,1.31E-02,623,3.08E+06,1
180,180,1-Hexyne,C6H10,0693-02-07,133.2,-7492.9,-18.405,2.21E-02,1,141.25,3.92E-04,516.2,3.64E+06,1
181,181,2-Hexyne,C6H10,764-35-2,123.71,-7639,-16.451,1.65E-02,1,183.65,5.40E-01,549,3.53E+06,1
182,182,Hydrazine,H4N2,0302-01-02,76.858,-7245.2,-8.22,6.16E-03,1,274.69,4.08E+02,653.15,1.47E+07,1
183,183,Hydrogen,H2,1333-74-0,12.69,-94.9,1.1125,3.29E-04,2,13.95,7.21E+03,33.19,1.32E+06,1
184,184,Hydrogen bromide,HBr,10035-10-6,29.315,-2424.5,-1.1354,2.38E-18,6,185.15,2.95E+04,363.15,8.46E+06,1
185,185,Hydrogen chloride,HCl,7647-01-0,104.27,-3731.2,-15.047,3.13E-02,1,158.97,1.35E+04,324.65,8.36E+06,1
186,186,Hydrogen cyanide,CHN,74-90-8,36.75,-3927.1,-2.1245,3.89E-17,6,259.83,1.87E+04,456.65,5.35E+06,1
187,187,Hydrogen fluoride,HF,7664-39-3,59.544,-4143.8,-6.1764,1.42E-05,2,189.79,3.37E+02,461.15,6.49E+06,1
188,188,Hydrogen sulfide,H2S,7783-06-04,85.584,-3839.9,-11.199,1.88E-02,1,187.68,2.29E+04,373.53,9.00E+06,1
189,189,Isobutyric acid,C4H8O2,79-31-2,110.38,-10540,-12.262,1.43E-17,6,227.15,7.82E-02,605,3.68E+06,1
190,190,Isopropyl amine,C3H9N,75-31-0,136.66,-7201.5,-18.934,2.23E-02,1,177.95,7.73E+00,471.85,4.54E+06,1
191,191,Malonic acid,C3H4O4,141-82-2,122.92,-16258,-13.113,2.06E-18,6,407.95,7.03E+01,805,5.65E+06,1
192,192,Methacrylic acid,C4H6O2,79-41-4,109.53,-10410,-12.289,3.20E-06,2,288.15,5.86E+01,662,4.81E+06,1
193,193,Methane,CH4,74-82-8,39.205,-1324.4,-3.4366,3.10E-05,2,90.69,1.17E+04,190.56,4.59E+06,1
194,194,Methanol,CH4O,67-56-1,82.718,-6904.5,-8.8622,7.47E-06,2,175.47,1.11E-01,512.5,8.15E+06,1
195,195,N-Methyl acetamide,C3H7NO,79-16-3,79.128,-9523.9,-7.7355,3.16E-18,6,301.15,2.86E+01,718,5.00E+06,1
196,196,Methyl acetate,C3H6O2,79-20-9,61.267,-5618.6,-5.6473,2.11E-17,6,175.15,1.02E+00,506.55,4.70E+06,1
197,197,Methyl acetylene,C3H4,74-99-7,50.242,-3811.9,-4.2526,6.53E-17,6,170.45,4.15E+02,402.4,5.62E+06,1
198,198,Methyl acrylate,C4H6O2,96-33-3,107.69,-7027.2,-13.916,1.52E-02,1,196.32,4.07E+00,536,4.28E+06,1
199,199,Methyl amine,CH5N,74-89-5,75.206,-5082.8,-8.0919,8.11E-06,2,179.69,1.77E+02,430.05,7.41E+06,1
200,200,Methyl benzoate,C8H8O2,93-58-3,84.828,-9334.7,-8.7063,6.17E-18,6,260.75,1.81E+00,693,3.59E+06,1
201,201,"3-Methyl-1,2-butadiene",C5H8,598-25-4,66.575,-5213.4,-6.7693,4.81E-06,2,159.53,7.28E-01,490,3.83E+06,1
202,202,2-Methylbutane,C5H12,78-78-4,71.308,-4976,-7.7169,8.73E-06,2,113.25,1.21E-04,460.4,3.37E+06,1
203,203,2-Methylbutanoic acid,C5H10O2,116-53-0,85.383,-9575.4,-8.6164,5.61E-18,6,193,6.94E-05,643,3.89E+06,1
204,204,3-Methyl-1-butanol,C5H12O,123-51-3,121.85,-10976,-13.869,1.43E-17,6,155.95,8.67E-09,577.2,3.92E+06,1
205,205,2-Methyl-1-butene,C5H10,563-46-2,93.131,-5525.4,-11.852,1.42E-02,1,135.58,2.05E-02,465,3.47E+06,1
206,206,2-Methyl-2-butene,C5H10,513-35-9,83.927,-5640.5,-9.6453,1.11E-05,2,139.39,1.94E-02,470,3.39E+06,1
207,207,2-Methyl-1-butene-3-yne,C5H6,78-80-8,95.453,-5448.8,-12.384,1.56E-02,1,160.15,2.92E+00,492,4.47E+06,1
208,208,Methylbutyl ether,C5H12O,628-28-4,60.164,-5621.7,-5.53,1.86E-17,6,157.48,2.99E-02,512.74,3.38E+06,1
209,209,Methylbutyl sulfide,C5H12S,628-29-5,96.344,-7856.3,-11.058,7.31E-06,2,175.3,4.61E-03,593,3.46E+06,1
210,210,3-Methyl-1-butyne,C5H8,598-23-2,69.459,-5250,-7.1125,7.93E-17,6,183.45,4.36E+01,463.2,4.20E+06,1
211,211,Methyl butyrate,C5H10O2,623-42-7,71.87,-6885.7,-7.0944,1.49E-17,6,187.35,1.34E-01,554.5,3.48E+06,1
212,212,Methylchlorosilane,CH5ClSi,993-00-0,95.984,-5401.7,-11.829,1.81E-05,2,139.05,4.12E-01,442,4.17E+06,1
213,213,Methylcyclohexane,C7H14,108-87-2,92.684,-7080.8,-10.695,8.14E-06,2,146.58,1.52E-04,572.1,3.49E+06,1
214,214,1-Methylcyclohexanol,C7H14O,590-67-0,134.63,-10682,-16.511,8.44E-06,2,299.15,2.57E+02,686,3.99E+06,1
215,215,cis-2-Methylcyclohexanol,C7H14O,7443-70-1,125.1,-10288,-15.157,1.09E-05,2,280.15,4.56E+01,614,3.81E+06,1
216,216,trans-2-Methylcyclohexanol,C7H14O,7443-52-9,54.179,-7477.2,-4.22,3.52E-18,6,269.15,1.62E+01,617,3.77E+06,1
217,217,Methylcyclopentane,C6H12,96-37-7,55.368,-5149.8,-5.0136,3.22E-06,2,130.73,2.25E-04,532.7,3.76E+06,1
218,218,1-Methylcyclopentene,C6H10,693-89-0,52.732,-5286.9,-4.4509,1.09E-17,6,146.62,3.98E-03,542,4.13E+06,1
219,219,3-Methylcyclopentene,C6H10,1120-62-3,52.601,-5120.3,-4.4554,1.33E-17,6,115,2.12E-06,526,4.13E+06,1
220,220,Methyldichlorosilane,CH4Cl2Si,75-54-7,79.788,-5420,-9.0702,1.15E-05,2,182.55,2.58E+01,483,3.96E+06,1
221,221,Methylethyl ether,C3H8O,540-67-0,78.586,-5176.3,-8.7501,9.17E-06,2,160,7.85E+00,437.8,4.43E+06,1
222,222,Methylethyl ketone,C4H8O,78-93-3,72.698,-6143.6,-7.5779,5.65E-06,2,186.48,1.39E+00,535.5,4.12E+06,1
223,223,Methylethyl sulfide,C3H8S,624-89-5,79.07,-6114.1,-8.631,6.53E-06,2,167.23,2.25E-01,533,4.26E+06,1
224,224,Methyl formate,C2H4O2,107-31-3,77.184,-5606.1,-8.392,7.85E-06,2,174.15,6.88E+00,487.2,5.98E+06,1
225,225,Methylisobutyl ether,C5H12O,625-44-5,57.984,-5339.6,-5.2362,2.08E-17,6,150,2.13E-02,497,3.42E+06,1
226,226,Methylisobutyl ketone,C6H12O,0108-10-1,80.503,-7421.8,-8.379,1.81E-17,6,189.15,6.99E-02,574.6,3.27E+06,1
227,227,Methyl Isocyanate,C2H3NO,624-83-9,57.612,-5197.9,-5.1269,2.17E-17,6,256.15,7.28E+03,488,5.48E+06,1
228,228,Methylisopropyl ether,C4H10O,598-53-8,53.867,-4701,-4.7052,2.88E-17,6,127.93,3.32E-03,464.48,3.76E+06,1
229,229,Methylisopropyl ketone,C5H10O,563-80-4,45.242,-5324.4,-3.2551,3.04E-18,6,180.15,2.95E-01,553.4,3.79E+06,1
230,230,Methylisopropyl sulfide,C4H10S,1551-21-9,52.82,-5437.7,-4.442,9.51E-18,6,171.64,1.80E-01,553.1,4.02E+06,1
231,231,Methyl mercaptan,CH4S,74-93-1,54.15,-4337.7,-4.8127,4.50E-17,6,150.18,3.15E+00,469.95,7.23E+06,1
232,232,Methyl methacrylate,C5H8O2,80-62-6,107.36,-8085.3,-12.72,8.33E-06,2,224.95,1.91E+01,566,3.67E+06,1
233,233,2-Methyloctanoic acid,C9H18O2,3004-93-1,105.7,-12458,-11.234,4.46E-18,6,240,4.19E-04,694,2.55E+06,1
234,234,2-Methylpentane,C6H14,107-83-5,53.579,-5041.2,-4.6404,1.94E-17,6,119.55,2.07E-05,497.7,3.04E+06,1
235,235,Methyl pentyl ether,C6H14O,628-80-8,61.907,-6188.9,-5.706,1.18E-17,6,176,6.33E-02,546.49,3.04E+06,1
236,236,2-Methylpropane,C4H10,75-28-5,108.43,-5039.9,-15.012,2.27E-02,1,113.54,1.21E-02,407.8,3.63E+06,1
237,237,2-Methyl-2-propanol,C4H10O,75-65-0,172.27,-11589,-22.113,1.37E-05,2,298.97,5.88E+03,506.2,3.96E+06,1
238,238,2-Methyl propene,C4H8,0115-11-7,78.01,-4634.1,-8.9575,1.34E-05,2,132.81,6.45E-01,417.9,4.00E+06,1
239,239,Methyl propionate,C4H8O2,0554-12-1,70.717,-6439.7,-6.9845,2.01E-17,6,185.65,6.34E-01,530.6,4.03E+06,1
240,240,Methylpropyl ether,C4H10O,557-17-5,67.942,-5419.1,-6.8067,4.78E-17,6,133.97,2.90E-03,476.25,3.80E+06,1
241,241,Methylpropyl sulfide,C4H10S,3877-15-4,83.711,-6786.9,-9.2526,6.67E-06,2,160.17,4.26E-03,565,3.97E+06,1
242,242,Methylsilane,CH6Si,992-94-9,37.205,-2590.3,-2.5993,6.05E-06,2,116.34,1.43E+01,352.5,4.70E+06,1
