no.,Name,Formula,CAS no.,molecular weight,C1,C2,C3,C4,C5,Tmin,Cp × 1E-05,Tmax,Cp × 1E-05,Eq
,,,,MW,C1,C2,C3,C4,C5,Tmin,Cp(min),Tmax,Cp(max),-
-,-,-,-,-,1,1,1,1,1,K,J/kmol.K,K,J/kmol.K,J/kmol.K
42,sec-Butyl mercaptan,C4 H10S,513-53-1,90.187,197890.000,-4.9154E+02,1.7219E+00,-1.2499E-03,,133.02,1.6003,370.00,1.8844,1
43,1-Butyne,C4 H6,107-00-6,54.090,136340.000,-3.0040E+02,1.0216E+00,,,147.43,1.1426,298.15,1.3759,1
44,Butyraldehyde,C4 H8O,123-72-8,72.106,65682.000,1.3291E+03,-7.1579E+00,1.2755E-02,,176.75,1.4741,300.00,1.6459,1
45,Butyric acid,C4 H8O2,107-92-6,88.105,237700.000,-7.4640E+02,1.8290E+00,,,267.95,1.6902,436.42,2.6031,1
46,Butyronitrile,C4 H7N,109-74-0,69.105,104000.000,1.7400E+02,,,,161.25,1.3206,390.75,1.7199,1
47,Carbon dioxide,CO2,124-38-9,44.010,-8304300.000,1.0437E+05,-4.3333E+02,6.0052E-01,,220.00,0.7827,290.00,1.6603,1
48,Carbon disulfide,CS2,75-15-0,76.141,85600.000,-1.2200E+02,5.6050E-01,-1.4520E-03,2.0080E-06,161.11,0.7577,552.00,1.3125,1
49,Carbon monoxide,CO,630-08-0,28.010,65.429,2.8723E+04,-8.4739E+02,1.9596E+03,,68.15,0.5912,132.00,6.4799,2
50,Carbon tetrachloride,CCl4,56-23-5,153.823,-752700.000,8.9661E+03,-3.0394E+01,3.4455E-02,,250.33,1.2763,388.71,1.6374,1
51,Carbon tetrafluoride,CF4,75-73-0,88.004,104600.000,-5.0060E+02,2.2851E+00,,,89.56,0.7810,145.10,0.8007,1
52,Chlorine,Cl2,7782-50-5,70.906,63936.000,4.6350E+01,-1.6230E-01,,,172.12,0.6711,239.12,0.6574,1
53,Chlorobenzene,C6 H5Cl,108-90-7,112.557,-1307500.000,1.5338E+04,-5.3974E+01,6.3483E-02,,227.95,1.3617,360.00,1.8101,1
54,Chloroethane,C2 H5Cl,75-00-3,64.514,127900.000,-3.4515E+02,9.1500E-01,,,134.80,0.9800,340.00,1.1632,1
55,Chloroform,CHCl3,67-66-3,119.378,124850.000,-1.6634E+02,4.3209E-01,,,233.15,1.0956,366.48,1.2192,1
56,Chloromethane,CH3Cl,74-87-3,50.488,96910.000,-2.0790E+02,3.7456E-01,4.8800E-04,,175.43,0.7460,373.15,0.9684,1
57,1-Chloropropane,C3 H7Cl,540-54-5,78.541,132280.000,-1.5327E+02,5.0836E-01,,,150.35,1.2073,319.67,1.3523,1
58,2-Chloropropane,C3 H7Cl,75-29-6,78.541,69362.000,2.1501E+02,,,,200.00,1.1236,308.85,1.3577,1
59,m-Cresol,C7H8O,108-39-4,108.138,-246700.000,3.2568E+03,-7.4202E+00,6.0467E-03,,285.39,2.1895,400.00,2.5578,1
60,o-Cresol,C7H8O,95-48-7,108.138,-185150.000,3.1480E+03,-8.0367E+00,7.2540E-03,,304.20,2.3297,400.00,2.5243,1
61,p-Cresol,C7H8O,106-44-5,108.138,259980.000,-1.1123E+03,4.9427E+00,-5.4367E-03,,307.93,2.2740,400.00,2.5794,1
62,Cumene,C9H12,98-82-8,120.192,61723.000,4.9481E+02,,,,177.14,1.4937,425.56,2.7229,1
63,Cyanogen,C2N2,460-19-5,52.035,65516.000,1.4470E+02,6.3229E-02,,,200.08,0.9700,300.08,1.1463,1
64,Cyclobutane,C4H8,287-23-0,56.106,101920.000,-2.1581E+02,8.1030E-01,,,190.00,0.9017,298.15,1.0961,1
65,Cyclohexane,C6H12,110-82-7,84.159,-220600.000,3.1183E+03,-9.4216E+00,1.0687E-02,,279.69,1.4836,400.00,2.0323,1
66,Cyclohexanol,C6H12O,108-93-0,100.159,-40000.000,8.5300E+02,,,,296.60,2.1300,434.00,3.3020,1
67,Cyclohexanone,C6H10O,108-94-1,98.143,6110.400,6.0094E+02,,,,290.00,1.8038,489.75,3.0042,1
68,Cyclohexene,C6H10,110-83-8,82.144,105850.000,-6.0000E+01,6.8000E-01,,,169.67,1.1525,356.12,1.7072,1
69,Cyclopentane,C5H10,287-92-3,70.133,122530.000,-4.0380E+02,1.7344E+00,-1.0975E-03,,179.28,0.9956,322.40,1.3584,1
70,Cyclopentene,C5H8,142-29-0,68.117,125380.000,-3.4970E+02,1.1430E+00,,,138.13,0.9888,317.38,1.2953,1
71,Cyclopropane,C3H6,75-19-4,42.080,89952.000,-1.9663E+02,6.5237E-01,,,150.00,0.7514,298.15,0.8932,1
72,Cyclohexyl mercaptan,C6H12S,1569-69-3,116.224,177560.000,-1.7912E+02,7.6723E-01,,,189.64,1.7118,431.95,2.4334,1
73,Decanal,C10H20O,112-31-2,156.265,150460.000,5.8663E+02,,,,267.15,3.0718,488.15,4.3682,1
74,Decane,C10H22,124-18-5,142.282,278620.000,-1.9791E+02,1.0737E+00,,,243.51,2.9409,460.00,4.1478,1
75,Decanoic acid,C10H20O2,334-48-5,172.265,219840.000,1.4041E+02,9.9680E-01,,,304.75,3.5521,543.15,5.9017,1
76,1-Decanol,C10H22O,112-30-1,158.281,4988500.000,-5.2898E+04,2.1635E+02,-3.7538E-01,2.3674E-04,280.05,3.5373,503.00,5.0169,1
77,1-Decene,C10H20,872-05-9,140.266,417440.000,-1.6165E+03,5.3948E+00,-4.3480E-03,,206.89,2.7541,443.75,3.8250,1
78,Decyl mercaptan,C10H22S,143-10-2,174.347,314570.000,-1.6093E+02,9.5561E-01,,,247.56,3.3330,512.35,4.8297,1
79,1-Decyne,C10H18,764-93-2,138.250,276900.000,-3.7123E+02,1.5774E+00,,,229.15,2.7466,447.15,4.2629,1
80,Deuterium,D2,7782-39-0,4.032,,,,,,,,,,1
81,"1,1-Dibromoethane",C2H4Br2,557-91-5,187.861,149400.000,-2.3180E+02,5.9460E-01,,,210.15,1.2695,381.15,1.4743,1
82,"1,2-Dibromoethane",C2H4Br2,106-93-4,187.861,200560.000,-4.9144E+02,9.1870E-01,,,282.85,1.3506,410.00,1.5350,1
83,Dibromomethane,CH2Br2,74-95-3,173.835,202580.000,-7.2630E+02,1.3377E+00,,,240.00,1.0532,370.10,1.1701,1
84,Dibutyl ether,C8H18O,142-96-1,130.228,270720.000,-2.5983E+02,9.5427E-01,,,175.30,2.5450,450.00,3.4704,1
85,m-Dichlorobenzene,C6H4Cl2,541-73-1,147.002,114880.000,1.8725E+02,,,,248.39,1.6139,400.00,1.8978,1
86,o-Dichlorobenzene,C6H4Cl2,95-50-1,147.002,93093.000,1.8397E+02,2.3140E-01,,,273.15,1.6061,528.75,2.5506,1
87,p-Dichlorobenzene,C6H4Cl2,106-46-7,147.002,133950.000,-2.4840E+01,4.8191E-01,,,326.14,1.7711,513.56,2.4829,1
88,"1,1-Dichloroethane",C2H4Cl2,75-34-3,98.959,126340.000,-9.4630E+01,3.2000E-01,,,176.19,1.1960,330.45,1.3001,1
89,"1,2-Dichloroethane",C2H4Cl2,107-06-2,98.959,179170.000,-4.4474E+02,9.3009E-01,,,237.49,1.2601,356.59,1.3885,1
90,Dichloromethane,CH2Cl2,75-09-2,84.933,98968.000,-6.2941E+01,2.3265E-01,,,180.00,0.9518,320.00,1.0265,1
91,"1,1-Dichloropropane",C3H6Cl2,78-99-9,112.986,144560.000,-5.3605E+01,3.0617E-01,,,180.00,1.4483,361.25,1.6515,1
92,"1,2-Dichloropropane",C3H6Cl2,78-87-5,112.986,111560.000,1.4944E+02,,,,275.00,1.5266,369.52,1.6678,1
93,Diethanol amine,C4H11NO2,111-42-2,105.136,184200.000,2.8600E+02,,,,301.15,2.7033,541.54,3.3908,1
94,Diethyl amine,C4H11N,109-89-7,73.137,101330.000,2.4318E+02,,,,223.35,1.5564,328.60,1.8124,1
95,Diethyl ether,C4H10O,60-29-7,74.122,44400.000,1.3010E+03,-5.5000E+00,8.7630E-03,,156.92,1.4698,460.00,3.3202,1
