no.,Name,Formula,CAS-number,molecular-weight,enthalpy-of-formation,gibbs-energy-of-formation,standard-entropy,standard-net-enthalpy-of-combustion
,-,-,-,MW,EnFo_IG,GiEnFo_IG,Ent_IG,EnCo_STD
-,-,-,-,g/mol,kJ/mol,kJ/mol,J/mol.K,kJ/mol
298,Propenylcyclohexene,C9H14,13511-13-2,122.207,46.77,208.5,423.3,-52.32
299,Propionaldehyde,C3H6O,123-38-6,58.079,-186.3,-124.6,304.4,-16.857
300,Propionic acid,C3H6O2,1979-09-04,74.079,-479.9,-385,294.9,-13.95
301,Propionitrile,C3H5N,107-12-0,55.079,51.8,97.4949,286.14,-18.007
302,Propyl acetate,C5H10O2,109-60-4,102.132,-464.8,-320.4,402.3,-26.72
303,Propyl amine,C3H9N,107-10-8,59.11,-70.5,41.7,324.2,-21.65
304,Propylbenzene,C9H12,103-65-1,120.192,7.9,137.6,400.14,-49.5415
305,Propylene,C3H6,115-07-1,42.08,20.23,62.64,267,-19.262
306,Propyl formate,C4H8O2,110-74-7,88.105,-407.6,-293.6,367.8,-20.41
307,2-Propyl mercaptan,C3H8S,75-33-2,76.161,-75.9,-2.18,324.3,-23.398
308,Propyl mercaptan,C3H8S,107-03-9,76.161,-67.5,2.583,336.5,-23.458
309,"1,2-Propylene glycol",C3H8O2,57-55-6,76.094,-421.5,-304,352,-16.476
310,Quinone,C6H4O2,106-51-4,108.095,-122.9,-69.2,320.5,-26.58
311,Silicon tetrafluoride,F4Si,7783-61-1,104.079,-1614.94,-1572.7,282.651,7.055
312,Styrene,C8H8,100-42-5,104.149,147.4,213.9,345.1,-42.19
313,Succinic acid,C4H6O4,110-15-6,118.088,-822.9,-697.3,403.4,-13.591
314,Sulfur dioxide,O2S,7446-09-05,64.064,-296.84,-300.12,248.1,0
315,Sulfur hexafluoride,F6S,2551-62-4,146.055,-1220.47,-1116.53,291.625,9.24
316,Sulfur trioxide,O3S,7446-11-09,80.063,-395.72,-370.95,256.51,1.422
317,Terephthalic acid,C8H6O4,100-21-0,166.131,-717.9,-599,448,-30.576
318,o-Terphenyl,C18H14,84-15-1,230.304,276.6,423,526.3,-90.53
319,Tetradecane,C14H30,629-59-4,198.388,-332.44,65.99,702.59,-87.3282
320,Tetrahydrofuran,C4H8O,109-99-9,72.106,-184.18,-79.69,297.29,-23.25
321,"1,2,3,4-Tetrahydronaphthalene",C10H12,119-64-2,132.202,26.61,167.1,369.64,-53.575
322,Tetrahydrothiophene,C4H8S,110-01-0,88.171,-33.76,45.9,310,-27.6549
323,"2,2,3,3-Tetramethylbutane",C8H18,594-82-1,114.229,-225.6,22.39,389.3,-50.639
324,Thiophene,C4H4S,110-02-1,84.14,115.44,126.7,278.4,-24.352
325,Toluene,C7H8,108-88-3,92.138,50.17,122.2,320.99,-37.34
326,"1,1,2-Trichloroethane",C2H3Cl3,79-00-5,133.404,-142,-80.97,337.1,-9.685
327,Tridecane,C13H28,629-50-5,184.361,-311.77,57.71,663.37,-81.229
328,Triethyl amine,C6H15N,121-44-8,101.19,-95.8,114.1,405.4,-40.405
329,Trimethyl amine,C3H9N,75-50-3,59.11,-24.31,98.99,287,-22.449
330,"1,2,3-Trimethylbenzene",C9H12,526-73-8,120.192,-9.5,126.1,380.5,-49.34
331,"1,2,4-Trimethylbenzene",C9H12,95-63-6,120.192,-13.8,117.1,396.1,-49.307
332,"2,2,4-Trimethylpentane",C8H18,540-84-1,114.229,-224.01,13.94,422.96,-50.6528
333,"2,3,3-Trimethylpentane",C8H18,560-21-4,114.229,-218.45,18.28,427.02,-50.6876
334,"1,3,5-Trinitrobenzene",C6H3N3O6,99-35-4,213.105,62.4,267.9,443.5,-26.867
335,"2,4,6-Trinitrotoluene",C7H5N3O6,118-96-7,227.131,43.4,284.4,460.7,-32.959
336,Undecane,C11H24,1120-21-4,156.308,-270.43,41.16,584.93,-69.036
337,1-Undecanol,C11H24O,112-42-5,172.308,-419,-91.77,636.3,-67.26
338,Vinyl acetate,C4H6O2,108-05-4,86.089,-314.9,-227.9,328,-19.5
339,Vinyl acetylene,C4H4,689-97-4,52.075,304.6,306,279.4,-23.62
340,Vinyl chloride,C2H3Cl,1975-01-04,62.498,28.45,41.95,273.54,-11.78
341,Vinyl trichlorosilane,C2H3Cl3Si,75-94-5,161.49,-481.16,-425.514,373.966,-15.44
342,Water,H2O,7732-18-5,18.015,-241.814,-228.59,188.724,0
343,m-Xylene,C8H10,108-38-3,106.165,17.32,118.76,358.54,-43.318
344,o-Xylene,C8H10,95-47-6,106.165,19.08,122,353.83,-43.33
345,p-Xylene,C8H10,106-42-3,106.165,18.03,121.4,352.165,-43.33
