no.,Name,Formula,CAS-number,molecular-weight,enthalpy-of-formation,gibbs-energy-of-formation,standard-entropy,standard-net-enthalpy-of-combustion
,-,-,-,MW,EnFo_IG,GiEnFo_IG,Ent_IG,EnCo_STD
-,-,-,-,g/mol,kJ/mol,kJ/mol,J/mol.K,kJ/mol
71,Cyclopropane,C3H6,75-19-4,42.08,53.3,104.4,237.378,-19.593
72,Cyclohexyl mercaptan,C6H12S,1569-69-3,116.224,-96.02,48.86,364.6,-39.68
73,Decanal,C10H20O,112-31-2,156.265,-331.7,-67.39,579.12,-59.59
74,Decane,C10H22,124-18-5,142.282,-249.46,33.18,545.7,-62.9422
75,Decanoic acid,C10H20O2,334-48-5,172.265,-594.3,-305,599,-57.2
76,1-Decanol,C10H22O,112-30-1,158.281,-398.5,-100.2,597.1,-61.16
77,1-Decene,C10H20,872-05-9,140.266,-122.1,122.7,543.3,-61.809
78,Decyl mercaptan,C10H22S,143-10-2,174.347,-210.9,61.65,611.6,-66.161
79,1-Decyne,C10H18,764-93-2,138.25,41,251.6,526.3,-61.037
80,Deuterium,D2,7782-39-0,4.032,0,0,144.86,-2.4625
81,"1,1-Dibromoethane",C2H4Br2,557-91-5,187.861,-40.8,-11.81,327.6,-11.6
82,"1,2-Dibromoethane",C2H4Br2,106-93-4,187.861,-38.9,-10.54,329.7,-11.769
83,Dibromomethane,CH2Br2,74-95-3,173.835,0,0,292.964,0
84,Dibutyl ether,C8H18O,142-96-1,130.228,-333.4,-88.27,501.4,-49.4691
85,m-Dichlorobenzene,C6H4Cl2,541-73-1,147.002,25.7,77.9,343.53,-28.25
86,o-Dichlorobenzene,C6H4Cl2,95-50-1,147.002,30.2,82.9,341.85,-28.26
87,p-Dichlorobenzene,C6H4Cl2,106-46-7,147.002,22.5,76.7,336.74,-28.02
88,"1,1-Dichloroethane",C2H4Cl2,75-34-3,98.959,-129.41,-72.59,305.01,-11.104
89,"1,2-Dichloroethane",C2H4Cl2,107-06-2,98.959,-129.79,-73.945,308.28,-11.05
90,Dichloromethane,CH2Cl2,1975-09-02,84.933,-95.52,-68.96,270.18,-5.1388
91,"1,1-Dichloropropane",C3H6Cl2,78-99-9,112.986,-150.8,-65.2,344.8,-17.2
92,"1,2-Dichloropropane",C3H6Cl2,78-87-5,112.986,-162.8,-80.18,354.8,-17.07
93,Diethanol amine,C4H11NO2,111-42-2,105.136,-408.47,-225.74,429,-24.105
94,Diethyl amine,C4H11N,109-89-7,73.137,-71.42,73.08,352.2,-28.003
95,Diethyl ether,C4H10O,60-29-7,74.122,-252.1,-122.1,342.3,-25.035
96,Diethyl sulfide,C4H10S,352-93-2,90.187,-83.56,17.74,368.1,-29.607
97,"1,1-Difluoroethane",C2H4F2,75-37-6,66.05,-497,-439.485,282.4,-7.73662
98,"1,2-Difluoroethane",C2H4F2,624-72-6,66.05,-447.7,-391.9,288.194,-8.23
99,Difluoromethane,CH2F2,1975-10-05,52.023,-452.3,-424.747,246.58,-1.83031
100,Di-isopropyl amine,C6H15N,108-18-9,101.19,-143.8,64.2,412,-39.9
101,Di-isopropyl ether,C6H14O,108-20-3,102.175,-319.2,-124.8,398.9,-37.0261
102,Di-isopropyl ketone,C7H14O,565-80-0,114.185,-311.4,-123.7,427,-40.95
103,"1,1-Dimethoxyethane",C4H10O2,534-15-6,90.121,-389.7,-238,372.6,-23.94
104,"1,2-Dimethoxypropane",C5H12O2,7778-85-0,104.148,-384.2,-201.1,403.8,-29.96
105,Dimethyl acetylene,C4H6,503-17-3,54.09,145.7,184.9,283.3,-24.189
106,Dimethyl amine,C2H7N,124-40-3,45.084,-18.45,68.39,272.96,-16.146
107,"2,3-Dimethylbutane",C6H14,79-29-8,86.175,-176.8,-3.125,365.92,-38.4761
108,"1,1-Dimethylcyclohexane",C8H16,590-66-9,112.213,-181,35.2293,365.012,-48.639
109,"cis-1,2-Dimethylcyclohexane",C8H16,2207-01-04,112.213,-172.172,41.2124,374.51,-48.7084
110,"trans-1,2-Dimethylcyclohexane",C8H16,6876-23-9,112.213,-179.996,34.4761,370.912,-48.6436
111,Dimethyl disulfide,C2H6S2,624-92-0,94.199,-24.2,15.16,335.291,-20.441
112,Dimethyl ether,C2H6O,115-10-6,46.068,-184.1,-112.8,266.7,-13.284
113,"N,N-Dimethyl formamide",C3H7NO,1968-12-02,73.094,-191.7,-88.4,326,-17.8871
114,"2,3-Dimethylpentane",C7H16,565-59-3,100.202,-194.1,5.717,414.55,-44.6075
115,Dimethyl phthalate,C10H10O4,131-11-3,194.184,-605,-467.749,660,-44.662
116,Dimethylsilane,C2H8Si,1111-74-6,60.17,-94.7,-19.25,299.53,-25.69
117,Dimethyl sulfide,C2H6S,75-18-3,62.134,-37.24,7.302,285.85,-17.443
118,Dimethyl sulfoxide,C2H6OS,67-68-5,78.133,-150.46,-81.441,306.27,-16.054
119,Dimethyl terephthalate,C10H10O4,120-61-6,194.184,-644,-474,550,-44.115
120,"1,4-Dioxane",C4H8O2,123-91-1,88.105,-315.8,-181.6,300.12,-21.863
121,Diphenyl ether,C12H10O,101-84-8,170.207,52,175,413,-58.939
122,Dipropyl amine,C6H15N,142-84-7,101.19,-116,86.8,429,-40.189
123,Dodecane,C12H26,112-40-3,170.335,-290.72,49.81,624.15,-75.1368
124,Eicosane,C20H42,112-95-8,282.547,-456.46,115.7,937.87,-123.908
125,Ethane,C2H6,74-84-0,30.069,-83.82,-31.92,229.12,-14.2864
126,Ethanol,C2H6O,64-17-5,46.068,-234.95,-167.85,280.64,-12.35
127,Ethyl acetate,C4H8O2,141-78-6,88.105,-444.5,-328,359.7,-20.61
128,Ethyl amine,C2H7N,1975-04-07,45.084,-47.15,36.16,284.8,-15.874
129,Ethylbenzene,C8H10,100-41-4,106.165,29.92,130.73,360.63,-43.448
130,Ethyl benzoate,C9H10O2,93-89-0,150.175,-326,-190.5,455,-44.1
131,2-Ethyl butanoic acid,C6H12O2,1988-09-05,116.158,-537.8,-359,423,-32.1203
132,Ethyl butyrate,C6H12O2,105-54-4,116.158,-485.5,-312.2,441.7,-32.84
133,Ethylcyclohexane,C8H16,1678-91-7,112.213,-171.5,39.55,382.6,-48.7051
134,Ethylcyclopentane,C7H14,1640-89-7,98.186,-126.9,44.8,378.3,-42.839
135,Ethylene,C2H4,74-85-1,28.053,52.51,68.44,219.2,-13.23
136,Ethylenediamine,C2H8N2,107-15-3,60.098,-17.3,103,321.833,-16.91
137,Ethylene glycol,C2H6O2,107-21-1,62.068,-392.2,-301.8,304.891,-10.527
138,Ethyleneimine,C2H5N,151-56-4,43.068,123.428,177.987,250.62,-14.81
139,Ethylene oxide,C2H4O,75-21-8,44.053,-52.63,-13.23,242.99,-12.18
140,Ethyl formate,C3H6O2,109-94-4,74.079,-388.3,-303.1,328.2,-15.0696
141,2-Ethyl hexanoic acid,C8H16O2,149-57-5,144.211,-559.5,-325,510,-44.48
142,Ethylhexyl ether,C8H18O,5756-43-4,130.228,-333.7,-90.42,507.6,-49.43
143,Ethylisopropyl ether,C5H12O,625-54-7,88.148,-285.8,-126.4,380,-31.03
144,Ethylisopropyl ketone,C6H12O,565-69-5,100.159,-286.1,-133,406.9,-34.863
145,Ethyl mercaptan,C2H6S,1975-08-01,62.134,-46.3,-4.814,296.1,-17.366
146,Ethyl propionate,C5H10O2,105-37-3,102.132,-463.6,-319.3,402.5,-26.74
147,Ethylpropyl ether,C5H12O,628-32-0,88.148,-272.2,-115.2,388.1,-31.2
148,Ethyltrichlorosilane,C2H5Cl3Si,115-21-9,163.506,-595.4,-510.1,407,-16.71
149,Fluorine,F2,7782-41-4,37.997,0,0,202.682,0
150,Fluorobenzene,C6H5F,462-06-6,96.102,-116.566,-69.036,302.629,-28.1451
151,Fluoroethane,C2H5F,353-36-6,48.06,-264.4,-212.3,264.4,-11.27
152,Fluoromethane,CH3F,593-53-3,34.033,-234.3,-210.4,222.734,-5.219
153,Formaldehyde,CH2O,50-00-0,30.026,-108.6,-102.6,218.66,-5.268
154,Formamide,CH3NO,1975-12-07,45.041,-192.2,-147.1,248.57,-5.021
155,Formic acid,CH2O2,64-18-6,46.026,-405.5,-377.8,248.7,-2.115
156,Furan,C4H4O,110-00-9,68.074,-34.8,0.8225,267.14,-19.959
157,Helium-4,He,7440-59-7,4.003,0,0,126.044,0
158,Heptadecane,C17H36,629-78-7,240.468,-394.45,90.83,820.23,-105.618
159,Heptanal,C7H14O,111-71-7,114.185,-269.4,-91.91,461.38,-41.36
160,Heptane,C7H16,142-82-5,100.202,-187.65,8.165,427.98,-44.6473
161,Heptanoic acid,C7H14O2,111-14-8,130.185,-536.2,-334,480,-38.39
162,1-Heptanol,C7H16O,111-70-6,116.201,-336.8,-125.5,479.5,-42.85
163,2-Heptanol,C7H16O,543-49-7,116.201,-355.4,-142.5,474,-42.82
164,3-Heptanone,C7H14O,106-35-4,114.185,-301,-122.5,458,-40.98
165,2-Heptanone,C7H14O,110-43-0,114.185,-300.453,-119.6,448.6,-40.9952
166,1-Heptene,C7H14,592-76-7,98.186,-62.89,94.82,425.2,-43.499
167,Heptyl mercaptan,C7H16S,1639-09-4,132.267,-149.5,36.22,493.9,-47.865
168,1-Heptyne,C7H12,628-71-7,96.17,103,227,408.5,-42.717
169,Hexadecane,C16H34,544-76-3,226.441,-374.17,82.16,781.02,-99.5145
170,Hexanal,C6H12O,66-25-1,100.159,-248.6,-100.05,422.14,-35.2
171,Hexane,C6H14,110-54-3,86.175,-166.94,-0.06634,388.74,-38.551
172,Hexanoic acid,C6H12O2,142-62-1,116.158,-511.9,-338,441,-32.3
173,1-Hexanol,C6H14O,111-27-3,102.175,-316.2,-133.9,440.2,-36.75
174,2-Hexanol,C6H14O,626-93-7,102.175,-334.6,-150.6,434.9,-36.7
175,2-Hexanone,C6H12O,591-78-6,100.159,-279.826,-130.081,417.856,-34.9
176,3-Hexanone,C6H12O,589-38-8,100.159,-277.6,-126,409.2,-34.92
177,1-Hexene,C6H12,592-41-6,84.159,-41.67,87,386.3,-37.397
178,3-Hexyne,C6H10,928-49-4,82.144,106,199,376,-36.4
179,Hexyl mercaptan,C6H14S,111-31-9,118.24,-129.2,27.59,454.6,-41.762
180,1-Hexyne,C6H10,693-02-7,82.144,123.7,218.5,369.4,-36.61
181,2-Hexyne,C6H10,764-35-2,82.144,105,199,372,-36.4
182,Hydrazine,H4N2,302-01-2,32.045,95.353,159.17,238.61,-5.342
183,Hydrogen,H2,1333-74-0,2.016,0,0,130.571,-2.4182
184,Hydrogen bromide,HBr,10035-10-6,80.912,-36.29,-53.34,198.591,-0.6904
185,Hydrogen chloride,HCl,7647-01-0,36.461,-92.31,-95.3,186.786,-0.286
186,Hydrogen cyanide,CHN,74-90-8,27.025,135.143,124.725,201.719,-6.2329
187,Hydrogen fluoride,HF,7664-39-3,20.006,-273.3,-275.4,173.67,1.524
188,Hydrogen sulfide,H2S,7783-06-04,34.081,-20.63,-33.44,205.6,-5.18
189,Isobutyric acid,C4H8O2,79-31-2,88.105,-484.1,-362.1,341.2,-20.004
190,Isopropyl amine,C3H9N,75-31-0,59.11,-83.8,31.92,312.4,-21.566
191,Malonic acid,C3H4O4,141-82-2,104.061,-766.8,-670,370,-7.732
192,Methacrylic acid,C4H6O2,79-41-4,86.089,-368,-288,350,-19.3
193,Methane,CH4,74-82-8,16.042,-74.52,-50.49,186.27,-8.0262
194,Methanol,CH4O,67-56-1,32.042,-200.94,-162.32,239.88,-6.382
195,N-Methyl acetamide,C3H7NO,79-16-3,73.094,-240,-135,320,-17.1
196,Methyl acetate,C3H6O2,79-20-9,74.079,-411.9,-324.2,319.8,-14.61
197,Methyl acetylene,C3H4,74-99-7,40.064,184.9,193.84,248.36,-18.487
198,Methyl acrylate,C4H6O2,96-33-3,86.089,-333,-257,366,-19.303
199,Methyl amine,CH5N,74-89-5,31.057,-22.97,32.07,243.3,-9.7508
200,Methyl benzoate,C8H8O2,93-58-3,136.148,-287.9,-181,414,-37.72
201,"3-Methyl-1,2-butadiene",C5H8,598-25-4,68.117,129.08,197.5,321.51,-30.32
202,2-Methylbutane,C5H12,78-78-4,72.149,-153.7,-14.05,343.74,-32.3954
203,2-Methylbutanoic acid,C5H10O2,116-53-0,102.132,-498,-349.9,390,-26.22
204,3-Methyl-1-butanol,C5H12O,123-51-3,88.148,-303,-141,386.9,-30.62
